Algorithm, # Frames, # Reads, # Writes, # Page Faults
sort,10,1008,604,1008
sort,20,800,500,800
sort,30,600,400,600
sort,40,600,400,600
sort,50,500,300,500
sort,60,400,300,400
sort,70,400,300,400
sort,80,400,300,400
sort,90,400,300,400
sort,100,100,0,100
scan,10,1100,100,1100
scan,20,1100,100,1100
scan,30,1100,100,1100
scan,40,1100,100,1100
scan,50,1100,100,1100
scan,60,1100,100,1100
scan,70,1100,100,1100
scan,80,1100,100,1100
scan,90,1100,100,1100
scan,100,100,0,100
focus,10,292,192,292
focus,20,281,184,281
focus,30,272,175,272
focus,40,258,165,258
focus,50,229,157,229
focus,60,200,140,200
focus,70,200,130,200
focus,80,200,120,200
focus,90,200,110,200
focus,100,100,0,100
