Algorithm, # Frames, # Reads, # Writes, # Page Faults
sort,10,1059,627,1059
sort,20,821,523,821
sort,30,653,421,653
sort,40,595,401,595
sort,50,503,352,503
sort,60,439,317,439
sort,70,352,238,352
sort,80,273,176,273
sort,90,201,106,201
sort,100,100,0,100
scan,10,1100,100,1100
scan,20,1097,100,1097
scan,30,1065,100,1065
scan,40,986,100,986
scan,50,883,100,883
scan,60,766,100,766
scan,70,620,100,620
scan,80,461,99,461
scan,90,293,90,293
scan,100,100,0,100
focus,10,296,196,296
focus,20,284,188,284
focus,30,262,171,262
focus,40,238,149,238
focus,50,227,141,227
focus,60,203,127,203
focus,70,184,97,184
focus,80,151,66,151
focus,90,132,42,132
focus,100,100,0,100
